年份,属性值,土地类型,栅格数量,占地面积(km2),百分比(%)
poyang_2000,0,0,121550339,0,0.00%
poyang_2000,10,雨养耕地,6241469,4922.898346,6.42%
poyang_2000,11,草本植被覆盖,474,0.373862918,0.00%
poyang_2000,20,灌溉耕地,21524292,16977.07727,22.15%
poyang_2000,51,开阔常绿阔叶林,28281,22.3063654,0.03%
poyang_2000,52,闭阔常绿阔叶林,49819945,39295.00008,51.27%
poyang_2000,61,开阔落叶阔叶林（0.15<fc<0.4）,578,0.455891913,0.00%
poyang_2000,62,闭阔落叶阔叶林（fc>0.4）,869597,685.8862285,0.90%
poyang_2000,71,开阔常绿针叶林（0.15<fc<0.4）,125,0.098592542,0.00%
poyang_2000,72,闭阔常绿针叶林（fc>0.4）,7709502,6080.795185,7.93%
poyang_2000,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2000,120,灌木林,2310,1.821990172,0.00%
poyang_2000,121,常绿灌木林,323644,255.2710768,0.33%
poyang_2000,130,草地,3012,2.375685887,0.00%
poyang_2000,150,稀疏植被（fc<0.15）,134,0.105691205,0.00%
poyang_2000,181,沼泽,121718,96.00389602,0.13%
poyang_2000,182,沼泽地,1919529,1514.009945,1.98%
poyang_2000,183,水淹平地,1061969,837.6177841,1.09%
poyang_2000,190,不透水表面,3220765,2540.347263,3.31%
poyang_2000,200,裸地,518,0.408567493,0.00%
poyang_2000,210,水面,4331648,3416.545492,4.46%
poyang_2001,0,0,121550340,0,0.00%
poyang_2001,10,雨养耕地,6283001,4955.65631,6.47%
poyang_2001,11,草本植被覆盖,451,0.355721891,0.00%
poyang_2001,20,灌溉耕地,21402035,0,0.00%
poyang_2001,51,开阔常绿阔叶林,27153,21.4166663,0.03%
poyang_2001,52,闭阔常绿阔叶林,49828773,39301.96308,51.28%
poyang_2001,61,开阔落叶阔叶林（0.15<fc<0.4）,553,0.436173405,0.00%
poyang_2001,62,闭阔落叶阔叶林（fc>0.4）,871518,687.4013987,0.90%
poyang_2001,71,开阔常绿针叶林（0.15<fc<0.4）,122,0.096226321,0.00%
poyang_2001,72,闭阔常绿针叶林（fc>0.4）,7722039,6090.683623,7.95%
poyang_2001,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2001,120,灌木林,2374,1.872469554,0.00%
poyang_2001,121,常绿灌木林,342631,270.2468895,0.35%
poyang_2001,130,草地,3108,2.451404959,0.00%
poyang_2001,150,稀疏植被（fc<0.15）,129,0.101747503,0.00%
poyang_2001,181,沼泽,117899,92.99169668,0.12%
poyang_2001,182,沼泽地,1835519,1447.74787,1.89%
poyang_2001,183,水淹平地,737388,581.6076577,0.76%
poyang_2001,190,不透水表面,3198931,2523.125907,3.29%
poyang_2001,200,裸地,495,0.390426466,0.00%
poyang_2001,210,水面,4805390,3790.204915,4.95%
poyang_2002,0,0,121550340,0,0.00%
poyang_2002,10,雨养耕地,6372527,5026.269077,6.56%
poyang_2002,11,草本植被覆盖,1181,0.931502335,0.00%
poyang_2002,20,灌溉耕地,21393093,16873.59533,22.01%
poyang_2002,51,开阔常绿阔叶林,25280,19.93935565,0.03%
poyang_2002,52,闭阔常绿阔叶林,49744744,39235.68602,51.19%
poyang_2002,61,开阔落叶阔叶林（0.15<fc<0.4）,700,0.552118234,0.00%
poyang_2002,62,闭阔落叶阔叶林（fc>0.4）,907161,715.5144705,0.93%
poyang_2002,71,开阔常绿针叶林（0.15<fc<0.4）,122,0.096226321,0.00%
poyang_2002,72,闭阔常绿针叶林（fc>0.4）,7581581,5979.898733,7.80%
poyang_2002,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2002,120,灌木林,2541,2.00418919,0.00%
poyang_2002,121,常绿灌木林,334427,263.7760638,0.34%
poyang_2002,130,草地,7821,6.168738155,0.01%
poyang_2002,150,稀疏植被（fc<0.15）,134,0.105691205,0.00%
poyang_2002,181,沼泽,124836,98.46318838,0.13%
poyang_2002,182,沼泽地,1886782,1488.181066,1.94%
poyang_2002,183,水淹平地,1023125,806.9799546,1.05%
poyang_2002,190,不透水表面,3358699,2649.141372,3.46%
poyang_2002,200,裸地,500,0.394370167,0.00%
poyang_2002,210,水面,4414255,3481.700965,4.54%
poyang_2003,0,0,121550340,0,0.00%
poyang_2003,10,雨养耕地,6460193,5095.414787,6.65%
poyang_2003,11,草本植被覆盖,5068,3.997336015,0.01%
poyang_2003,20,灌溉耕地,21328622,16822.74445,21.95%
poyang_2003,51,开阔常绿阔叶林,25217,19.88966501,0.03%
poyang_2003,52,闭阔常绿阔叶林,49640015,39153.08203,51.08%
poyang_2003,61,开阔落叶阔叶林（0.15<fc<0.4）,1009,0.795838997,0.00%
poyang_2003,62,闭阔落叶阔叶林（fc>0.4）,966086,761.9909947,0.99%
poyang_2003,71,开阔常绿针叶林（0.15<fc<0.4）,117,0.092282619,0.00%
poyang_2003,72,闭阔常绿针叶林（fc>0.4）,7396476,5833.898953,7.61%
poyang_2003,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2003,120,灌木林,2657,2.095683068,0.00%
poyang_2003,121,常绿灌木林,319847,252.2762297,0.33%
poyang_2003,130,草地,6570,5.182023997,0.01%
poyang_2003,150,稀疏植被（fc<0.15）,133,0.104902464,0.00%
poyang_2003,181,沼泽,138468,109.2152966,0.14%
poyang_2003,182,沼泽地,2217862,1749.317215,2.28%
poyang_2003,183,水淹平地,1506198,1187.999114,1.55%
poyang_2003,190,不透水表面,3578172,2822.24858,3.68%
poyang_2003,200,裸地,507,0.39989135,0.00%
poyang_2003,210,水面,3586292,2828.653151,3.69%
poyang_2004,0,0,121550340,0,0.00%
poyang_2004,10,雨养耕地,6538977,5157.554905,6.73%
poyang_2004,11,草本植被覆盖,2672,2.107514173,0.00%
poyang_2004,20,灌溉耕地,21280584,16784.85494,21.90%
poyang_2004,51,开阔常绿阔叶林,28155,22.20698411,0.03%
poyang_2004,52,闭阔常绿阔叶林,49637304,39150.94375,51.08%
poyang_2004,61,开阔落叶阔叶林（0.15<fc<0.4）,806,0.63572471,0.00%
poyang_2004,62,闭阔落叶阔叶林（fc>0.4）,1010669,797.155405,1.04%
poyang_2004,71,开阔常绿针叶林（0.15<fc<0.4）,121,0.09543758,0.00%
poyang_2004,72,闭阔常绿针叶林（fc>0.4）,7279437,5741.585573,7.49%
poyang_2004,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2004,120,灌木林,2438,1.922948935,0.00%
poyang_2004,121,常绿灌木林,310057,244.5544619,0.32%
poyang_2004,130,草地,7151,5.640282131,0.01%
poyang_2004,150,稀疏植被（fc<0.15）,127,0.100170022,0.00%
poyang_2004,181,沼泽,151425,119.4350051,0.16%
poyang_2004,182,沼泽地,2273585,1793.268193,2.34%
poyang_2004,183,水淹平地,1419700,1119.774653,1.46%
poyang_2004,190,不透水表面,3689901,2910.373749,3.80%
poyang_2004,200,裸地,491,0.387271504,0.00%
poyang_2004,210,水面,3545909,2796.80145,3.65%
poyang_2005,0,0,121550340,0,0.00%
poyang_2005,10,雨养耕地,6538527,5157.199972,6.73%
poyang_2005,11,草本植被覆盖,1652,1.302999032,0.00%
poyang_2005,20,灌溉耕地,21211251,16730.16921,21.83%
poyang_2005,51,开阔常绿阔叶林,28567,22.53194513,0.03%
poyang_2005,52,闭阔常绿阔叶林,49761557,39248.94711,51.21%
poyang_2005,61,开阔落叶阔叶林（0.15<fc<0.4）,812,0.640457152,0.00%
poyang_2005,62,闭阔落叶阔叶林（fc>0.4）,1024039,807.7008633,1.05%
poyang_2005,71,开阔常绿针叶林（0.15<fc<0.4）,118,0.093071359,0.00%
poyang_2005,72,闭阔常绿针叶林（fc>0.4）,7084287,5587.662897,7.29%
poyang_2005,120,灌木林,2789,2.199796793,0.00%
poyang_2005,121,常绿灌木林,296944,234.2117098,0.31%
poyang_2005,130,草地,9682,7.636583917,0.01%
poyang_2005,150,稀疏植被（fc<0.15）,132,0.104113724,0.00%
poyang_2005,181,沼泽,152501,120.2836897,0.16%
poyang_2005,182,沼泽地,2395021,1889.049664,2.47%
poyang_2005,183,水淹平地,1389466,1095.927877,1.43%
poyang_2005,190,不透水表面,3827652,3019.023518,3.94%
poyang_2005,200,裸地,495,0.390426466,0.00%
poyang_2005,210,水面,3454018,2724.323312,3.55%
poyang_2006,0,0,121550340,0,0.00%
poyang_2006,10,雨养耕地,6557198,5171.926543,6.75%
poyang_2006,11,草本植被覆盖,1589,1.253308391,0.00%
poyang_2006,20,灌溉耕地,21129131,16665.39785,21.74%
poyang_2006,51,开阔常绿阔叶林,28677,22.61870657,0.03%
poyang_2006,52,闭阔常绿阔叶林,49871851,39335.94043,51.32%
poyang_2006,61,开阔落叶阔叶林（0.15<fc<0.4）,740,0.583667847,0.00%
poyang_2006,62,闭阔落叶阔叶林（fc>0.4）,1056602,833.3846148,1.09%
poyang_2006,71,开阔常绿针叶林（0.15<fc<0.4）,115,0.090705138,0.00%
poyang_2006,72,闭阔常绿针叶林（fc>0.4）,6894128,5437.676824,7.09%
poyang_2006,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2006,120,灌木林,3556,2.804760629,0.00%
poyang_2006,121,常绿灌木林,290451,229.0904189,0.30%
poyang_2006,130,草地,11049,8.714791954,0.01%
poyang_2006,150,稀疏植被（fc<0.15）,129,0.101747503,0.00%
poyang_2006,181,沼泽,145525,114.7814372,0.15%
poyang_2006,182,沼泽地,2455431,1936.697468,2.53%
poyang_2006,183,水淹平地,1119032,882.6256739,1.15%
poyang_2006,190,不透水表面,3924052,3095.058087,4.04%
poyang_2006,200,裸地,499,0.393581427,0.00%
poyang_2006,210,水面,3689754,2910.257804,3.80%
poyang_2007,0,0,121550340,0,0.00%
poyang_2007,10,雨养耕地,6591381,5198.888054,6.78%
poyang_2007,11,草本植被覆盖,1977,1.559339641,0.00%
poyang_2007,20,灌溉耕地,21153118,16684.31736,21.77%
poyang_2007,51,开阔常绿阔叶林,26488,20.89215398,0.03%
poyang_2007,52,闭阔常绿阔叶林,50109568,39523.43742,51.56%
poyang_2007,61,开阔落叶阔叶林（0.15<fc<0.4）,733,0.578146665,0.00%
poyang_2007,62,闭阔落叶阔叶林（fc>0.4）,1105707,872.1157089,1.14%
poyang_2007,71,开阔常绿针叶林（0.15<fc<0.4）,116,0.091493879,0.00%
poyang_2007,72,闭阔常绿针叶林（fc>0.4）,6573873,5185.078788,6.77%
poyang_2007,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2007,120,灌木林,3636,2.867859856,0.00%
poyang_2007,121,常绿灌木林,264916,208.9499344,0.27%
poyang_2007,130,草地,9379,7.397595596,0.01%
poyang_2007,150,稀疏植被（fc<0.15）,137,0.108057426,0.00%
poyang_2007,181,沼泽,143226,112.9681231,0.15%
poyang_2007,182,沼泽地,2505673,1976.32536,2.58%
poyang_2007,183,水淹平地,1062610,838.1233667,1.09%
poyang_2007,190,不透水表面,3960815,3124.054547,4.08%
poyang_2007,200,裸地,499,0.393581427,0.00%
poyang_2007,210,水面,3665657,2891.251528,3.77%
poyang_2008,0,0,121550340,0,0.00%
poyang_2008,10,雨养耕地,6665165,5257.084471,6.86%
poyang_2008,11,草本植被覆盖,7029,5.54405581,0.01%
poyang_2008,20,灌溉耕地,21158148,16688.28473,21.77%
poyang_2008,51,开阔常绿阔叶林,25828,20.37158536,0.03%
poyang_2008,52,闭阔常绿阔叶林,50040187,39468.71383,51.49%
poyang_2008,61,开阔落叶阔叶林（0.15<fc<0.4）,742,0.585245328,0.00%
poyang_2008,62,闭阔落叶阔叶林（fc>0.4）,1131008,892.0716281,1.16%
poyang_2008,71,开阔常绿针叶林（0.15<fc<0.4）,109,0.085972696,0.00%
poyang_2008,72,闭阔常绿针叶林（fc>0.4）,6416847,5061.226048,6.60%
poyang_2008,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2008,120,灌木林,3324,2.621772871,0.00%
poyang_2008,121,常绿灌木林,266544,210.2340037,0.27%
poyang_2008,130,草地,9261,7.304524237,0.01%
poyang_2008,150,稀疏植被（fc<0.15）,143,0.112789868,0.00%
poyang_2008,181,沼泽,148826,117.385069,0.15%
poyang_2008,182,沼泽地,2653470,2092.898815,2.73%
poyang_2008,183,水淹平地,992020,782.4461865,1.02%
poyang_2008,190,不透水表面,4092110,3227.61221,4.21%
poyang_2008,200,裸地,505,0.398313869,0.00%
poyang_2008,210,水面,3568243,2814.417177,3.67%
poyang_2009,0,0,121550340,0,0.00%
poyang_2009,10,雨养耕地,6625875,5226.094863,6.82%
poyang_2009,11,草本植被覆盖,3627,2.860761193,0.00%
poyang_2009,20,灌溉耕地,21057383,16608.80731,21.67%
poyang_2009,51,开阔常绿阔叶林,23572,18.59218716,0.02%
poyang_2009,52,闭阔常绿阔叶林,49969747,39413.15496,51.42%
poyang_2009,61,开阔落叶阔叶林（0.15<fc<0.4）,711,0.560794378,0.00%
poyang_2009,62,闭阔落叶阔叶林（fc>0.4）,1149191,906.4132936,1.18%
poyang_2009,71,开阔常绿针叶林（0.15<fc<0.4）,105,0.082817735,0.00%
poyang_2009,72,闭阔常绿针叶林（fc>0.4）,6312703,4979.083475,6.50%
poyang_2009,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2009,120,灌木林,3353,2.644646341,0.00%
poyang_2009,121,常绿灌木林,263474,207.8125709,0.27%
poyang_2009,130,草地,7381,5.821692408,0.01%
poyang_2009,150,稀疏植被（fc<0.15）,247,0.194818863,0.00%
poyang_2009,181,沼泽,142703,112.5556119,0.15%
poyang_2009,182,沼泽地,2612658,2060.708745,2.69%
poyang_2009,183,水淹平地,1013444,799.3441594,1.04%
poyang_2009,190,不透水表面,4296107,3388.512872,4.42%
poyang_2009,200,裸地,491,0.387271504,0.00%
poyang_2009,210,水面,3696737,2915.765577,3.80%
poyang_2010,0,0,121550340,0,0.00%
poyang_2010,10,雨养耕地,6628538,5228.195279,6.82%
poyang_2010,11,草本植被覆盖,2799,2.207684196,0.00%
poyang_2010,20,灌溉耕地,21070050,16618.79828,21.68%
poyang_2010,51,开阔常绿阔叶林,23869,18.82644304,0.03%
poyang_2010,52,闭阔常绿阔叶林,49909029,39365.26422,51.36%
poyang_2010,61,开阔落叶阔叶林（0.15<fc<0.4）,696,0.548963273,0.00%
poyang_2010,62,闭阔落叶阔叶林（fc>0.4）,1139388,898.6812721,1.17%
poyang_2010,71,开阔常绿针叶林（0.15<fc<0.4）,106,0.083606475,0.00%
poyang_2010,72,闭阔常绿针叶林（fc>0.4）,6204296,4893.578502,6.38%
poyang_2010,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2010,120,灌木林,3204,2.527124031,0.00%
poyang_2010,121,常绿灌木林,299222,236.0084603,0.31%
poyang_2010,130,草地,6263,4.939880714,0.01%
poyang_2010,150,稀疏植被（fc<0.15）,223,0.175889095,0.00%
poyang_2010,181,沼泽,140723,110.9939061,0.15%
poyang_2010,182,沼泽地,2896687,2284.733873,2.98%
poyang_2010,183,水淹平地,868316,684.8758522,0.89%
poyang_2010,190,不透水表面,4442873,3504.273136,4.57%
poyang_2010,200,裸地,475,0.374651659,0.00%
poyang_2010,210,水面,3542752,2794.311397,3.65%
poyang_2011,0,0,121550340,0,0.00%
poyang_2011,10,雨养耕地,6621220,5222.423277,6.81%
poyang_2011,11,草本植被覆盖,1900,1.498606635,0.00%
poyang_2011,20,灌溉耕地,21015296,16575.61159,21.63%
poyang_2011,51,开阔常绿阔叶林,22265,17.56130354,0.02%
poyang_2011,52,闭阔常绿阔叶林,49783544,39266.28914,51.23%
poyang_2011,61,开阔落叶阔叶林（0.15<fc<0.4）,641,0.505582554,0.00%
poyang_2011,62,闭阔落叶阔叶林（fc>0.4）,1139084,898.441495,1.17%
poyang_2011,71,开阔常绿针叶林（0.15<fc<0.4）,106,0.083606475,0.00%
